iter	Passed	Remaining
0	141	140945
1	141	70834
2	142	47516
3	144	35864
4	145	29011
5	146	24305
6	147	20991
7	149	18490
8	150	16568
9	151	14984
10	152	13675
11	152	12591
12	153	11676
13	154	10887
14	155	10215
15	156	9644
16	157	9123
17	158	8652
18	159	8235
19	160	7854
20	161	7535
21	162	7244
22	163	6961
23	164	6694
24	165	6452
25	166	6229
26	167	6033
27	168	5849
28	169	5690
29	171	5529
30	171	5370
31	172	5226
32	174	5104
33	175	4992
34	176	4864
35	177	4745
36	178	4634
37	179	4531
38	180	4441
39	181	4359
40	182	4266
41	183	4178
42	183	4094
43	185	4020
44	186	3953
45	187	3895
46	188	3825
47	189	3756
48	190	3690
49	190	3627
50	191	3569
51	193	3522
52	194	3468
53	194	3414
54	195	3362
55	196	3311
56	197	3265
57	198	3226
58	199	3188
59	200	3143
60	201	3098
61	201	3055
62	202	3015
63	203	2978
64	205	2955
65	206	2918
66	206	2880
67	207	2845
68	208	2810
69	209	2779
70	210	2760
71	212	2734
72	212	2703
73	213	2672
74	214	2642
75	214	2613
76	215	2588
77	217	2567
78	218	2544
79	218	2517
80	219	2490
81	220	2465
82	220	2436
83	221	2414
84	222	2396
85	223	2380
86	224	2356
87	225	2334
88	225	2311
89	226	2289
90	227	2273
91	228	2257
92	230	2246
93	231	2227
94	231	2207
95	232	2189
96	233	2171
97	234	2155
98	235	2144
99	236	2129
100	237	2112
101	237	2095
102	238	2077
103	239	2062
104	240	2053
105	242	2043
106	242	2027
107	243	2012
108	244	1997
109	245	1982
110	246	1971
111	248	1966
112	248	1952
113	249	1938
114	250	1924
115	250	1910
116	251	1898
117	252	1885
118	253	1876
119	255	1871
120	255	1859
121	256	1845
122	257	1834
123	258	1823
124	259	1817
125	260	1807
126	261	1795
127	262	1785
128	262	1773
129	263	1762
130	264	1753
131	265	1747
132	266	1736
133	267	1725
134	267	1715
135	268	1705
136	269	1697
137	271	1696
138	272	1688
139	273	1678
140	273	1668
141	274	1658
142	275	1651
143	276	1645
144	277	1636
145	278	1627
146	279	1619
147	279	1610
148	280	1601
149	281	1594
150	282	1588
151	283	1583
152	284	1575
153	285	1567
154	286	1559
155	288	1558
156	289	1556
157	290	1548
158	291	1541
159	292	1533
160	292	1525
161	293	1518
162	295	1515
163	296	1511
164	297	1505
165	298	1498
166	299	1492
167	300	1489
168	302	1486
169	303	1479
170	303	1472
171	304	1465
172	305	1459
173	306	1455
174	308	1452
175	308	1445
176	309	1438
177	310	1432
178	310	1425
179	312	1421
180	313	1416
181	314	1412
182	315	1408
183	316	1402
184	317	1397
185	318	1392
186	319	1389
187	320	1382
188	320	1377
189	321	1371
190	322	1366
191	323	1363
192	325	1360
193	326	1354
194	326	1349
195	327	1343
196	328	1337
197	329	1332
198	330	1329
199	331	1326
200	332	1321
201	333	1316
202	333	1310
203	334	1305
204	336	1304
205	337	1301
206	338	1296
207	339	1291
208	339	1285
209	340	1280
210	341	1276
211	342	1274
212	343	1269
213	344	1263
214	344	1258
215	345	1253
216	346	1248
217	346	1244
218	348	1243
219	349	1240
220	350	1235
221	351	1230
222	351	1226
223	352	1222
224	353	1219
225	355	1217
226	356	1212
227	356	1208
228	357	1203
229	358	1199
230	359	1195
231	360	1192
232	361	1190
233	362	1186
234	363	1182
235	363	1177
236	364	1173
237	365	1170
238	366	1167
239	368	1165
240	368	1161
241	369	1158
242	370	1154
243	371	1152
244	373	1150
245	374	1146
246	374	1143
247	375	1139
248	377	1137
249	378	1134
250	378	1130
251	379	1126
252	380	1122
253	380	1118
254	381	1114
255	382	1110
256	382	1107
257	384	1104
258	384	1100
259	385	1097
260	386	1093
261	386	1089
262	387	1086
263	388	1082
264	389	1079
265	389	1075
266	390	1072
267	391	1069
268	392	1065
269	392	1061
270	393	1058
271	393	1054
272	394	1050
273	395	1047
274	396	1044
275	397	1042
276	398	1039
277	398	1036
278	399	1032
279	400	1029
280	401	1026
281	401	1023
282	402	1020
283	403	1017
284	404	1014
285	404	1011
286	405	1007
287	406	1004
288	407	1001
289	407	998
290	409	996
291	409	993
292	410	990
293	411	987
294	411	983
295	412	980
296	412	977
297	414	975
298	415	974
299	416	971
300	416	968
301	417	965
302	418	962
303	419	959
304	419	956
305	421	955
306	423	955
307	424	952
308	424	949
309	425	946
310	426	944
311	427	942
312	428	941
313	429	938
314	430	936
315	431	933
316	431	930
317	433	929
318	434	927
319	435	924
320	435	921
321	436	919
322	437	916
323	438	914
324	439	913
325	440	910
326	441	907
327	441	905
328	442	902
329	443	899
330	443	897
331	445	896
332	446	894
333	447	891
334	447	888
335	448	885
336	449	883
337	450	882
338	451	881
339	452	878
340	453	876
341	454	873
342	454	871
343	455	869
344	457	867
345	457	865
346	458	862
347	459	860
348	460	858
349	461	856
350	462	854
351	463	852
352	463	850
353	464	847
354	465	845
355	465	842
356	466	840
357	467	838
358	468	836
359	469	834
360	470	832
361	470	829
362	471	827
363	472	825
364	473	823
365	474	822
366	475	820
367	476	817
368	476	815
369	477	813
370	479	812
371	480	811
372	481	809
373	482	806
374	482	804
375	483	802
376	484	800
377	485	799
378	486	797
379	487	796
380	488	793
381	489	791
382	490	789
383	491	787
384	492	786
385	493	785
386	494	783
387	495	781
388	496	779
389	497	777
390	498	776
391	499	774
392	500	772
393	500	770
394	501	768
395	502	766
396	504	766
397	505	765
398	506	762
399	507	760
400	507	758
401	508	756
402	510	756
403	511	754
404	511	752
405	512	750
406	513	748
407	514	746
408	516	745
409	516	743
410	517	741
411	517	739
412	518	737
413	519	735
414	520	734
415	522	733
416	523	731
417	523	729
418	524	726
419	524	724
420	525	722
421	526	720
422	526	718
423	528	717
424	529	716
425	530	714
426	530	712
427	531	710
428	532	708
429	533	707
430	534	705
431	535	703
432	535	701
433	536	699
434	537	697
435	538	696
436	539	695
437	540	693
438	541	691
439	541	689
440	542	687
441	543	685
442	543	683
443	545	682
444	547	682
445	547	680
446	548	678
447	549	676
448	550	675
449	550	673
450	552	672
451	553	670
452	554	669
453	554	667
454	555	665
455	556	664
456	558	663
457	559	661
458	559	659
459	560	657
460	560	655
461	561	654
462	563	653
463	564	651
464	565	650
465	565	648
466	566	646
467	566	644
468	567	642
469	568	641
470	570	640
471	571	639
472	571	637
473	572	635
474	573	633
475	574	632
476	575	630
477	576	629
478	577	628
479	578	626
480	578	624
481	579	622
482	580	621
483	582	621
484	583	619
485	584	617
486	584	615
487	585	614
488	586	612
489	587	611
490	588	610
